l1,l2Code,l2Name,l3Code,l3Name,l4Code,l4Name,channels
,,,,,expl_smart_list_02,태블릿/노트북 리스트,T다이렉트
,,,,,expl_smart_list_03,휴대폰 와이파이 리스트,T다이렉트
,,,expl_smart_dtl,스마트워치/태블릿 상세,expl_smart_dtl_01,스마트워치 상품 상세,T다이렉트
,,,,,expl_smart_dtl_02,태블릿/노트북 리스트 상품 상세,T다이렉트
,,,,,expl_smart_dtl_03,휴대폰 와이파이 리스트 상품 상세,T다이렉트
,,,,,expl_smart_dtl_04,구독 상품 후기/평점 확인,T우주
,expl_plan,요금제 탐색,expl_plan_list,요금제 리스트 조회,expl_plan_list_01,전체 모바일 요금제 (5G/LTE/3G/선불),T월드
,,,,,expl_plan_list_02,태블릿&스마트기기 요금제,T월드
,,,,,expl_plan_list_03,다이렉트 플랜,"T월드, T다이렉트"
,,,expl_plan_dtl,요금제 상세/비교,expl_plan_dtl_01,요금제 상세,T월드
,,,,,expl_plan_dtl_02,요금제 비교하기,T월드
,,,expl_plan_rec,맞춤 요금제 추천,expl_plan_rec_01,내게 맞는 요금제 찾기,T월드
,expl_cost,예상 금액 탐색,expl_cost_disc,할인 지원금/할인 조회,expl_cost_disc_01,미사용 혜택 정보 제공,T월드
,,,,,expl_cost_disc_02,선택약정지원금 조회,T월드
,,,,,expl_cost_disc_03,공통지원금 조회,T월드
,,,,,expl_cost_disc_04,총 할인 금액 조회,T월드
,,,expl_cost_monthly,예상 월 납부금액 조회,expl_cost_monthly_01,카드 할인 조회,T월드
,,,,,expl_cost_monthly_02,휴대폰 할부금,T월드
,,,,,expl_cost_monthly_03,월 통신 요금,T월드
,,,,,expl_cost_monthly_04,예상 월 납부금액,T월드
,expl_net,인터넷/B tv 탐색,expl_net_list,인터넷/B tv 리스트,expl_net_list_01,인터넷 리스트/상품상세,
,,,,,expl_net_list_02,B tv 리스트/상품상세,
,,,expl_net_combo,결합상품/할인 탐색,expl_net_combo_01,결합할인 리스트,
,,,,,expl_net_combo_02,예상 요금 계산하기,
,,,expl_net_check,설치 가능 지역 조회,expl_net_check_01,서비스 가능지역 조회,
,expl_add,부가서비스 탐색,expl_add_list,부가서비스 리스트/상세,expl_add_list_01,전체 부가서비스 리스트,
,,,,,expl_add_list_02,부가서비스 상세,
,,,expl_add_insure,단말 보험/보상 프로그램,expl_add_insure_01,보험 상품 리스트/상품상세,T월드
,,,,,expl_add_insure_02,쓰던 폰 보상 프로그램 ,T월드
,expl_univ,T우주 구독 탐색,expl_univ_all,구독 상품 탐색,expl_univ_all_01,전체 구독 상품 리스트,T우주
,,,,,expl_univ_all_02,상품상세 (단독/번들/패스),T우주
,,,,,expl_univ_all_03,발견 페이지 탐색,T우주
,,,expl_univ_benefit,구독 혜택 비교,expl_univ_benefit_01,구독 혜택 비교 (쿠폰/이용권/바코드),T우주
,expl_mbr,멤버십/혜택 탐색,expl_mbr_brand,혜택 브랜드 탐색,expl_mbr_brand_01,혜택 브랜드 리스트,T멤버십
,,,,,expl_mbr_pgm_02,혜택 브랜드 상세,T멤버십
,,,expl_mbr_benefit,혜택 프로그램 탐색,expl_mbr_benefit_01,"혜택 프로그램 리스트 (T Day, VIP Pick 등)",T멤버십
,,,,,expl_mbr_benefit_02,혜택 프로그램 상세,T멤버십
,,,expl_mbr_mission,미션 프로그램 탐색,expl_mbr_mission_01,"미션 프로그램 리스트 (출석체크, 룰렛 등)",T멤버십
,,,,,expl_mbr_mission_02,미션 프로그램 상세,T멤버십
,,,expl_mbr_grade,등급/이용 안내,expl_mbr_grade_01,등급안내 / 이용안내 / FAQ,T멤버십
,,,expl_mbr_tw,T월드 혜택/할인,expl_mbr_tw_01,전체 혜택 / 장기 우수 고객 / 결합할인,"T월드, T멤버십"
,expl_roam,로밍 서비스 탐색,expl_roam_prod,로밍 상품 탐색,expl_roam_prod_01,로밍 요금 상품 리스트,T월드
,,,,,expl_roam_prod_02,로밍 요금 상품 상세,T월드
,,,,,expl_roam_prod_03,Baro Box 상품 탐색,T월드
,,,,,expl_roam_prod_04,국가/지역별 로밍 상품 탐색,T월드
,,,expl_roam_center,로밍 센터 안내,expl_roam_center_01,T로밍 카드/쿠폰 조회,T월드
,,,,,expl_roam_center_02,T로밍 센터 안내,T월드
,expl_faq,이용 안내/FAQ 탐색,expl_faq_qna,자주 하는 질문,expl_faq_qna_01,T월드 FAQ,T월드
,,,,,expl_faq_qna_03,T다이렉트 FAQ,T다이렉트
,,,,,expl_faq_qna_04,T멤버십 FAQ,T멤버십
,,,,,expl_faq_qna_05,T우주 FAQ,T우주
,,,expl_faq_guide,서비스 이용 안내,expl_faq_guide_01,사이트 이용방법 / 필요 서류 안내,ALL(Digital)
,,,,,expl_faq_guide_02,서비스 장애 안내,ALL(Digital)
,,,expl_faq_noti,공지사항,expl_faq_noti_01,T world/T다이렉트/T멤버십 공지사항,ALL(Digital)
,expl_consult,상담을 통한 탐색,expl_consult_chat,대리점/유통망 상담을 통한 탐색,expl_consult_chat_01,전시 단말 실물 체험/비교,유통망
,,,,,expl_consult_chat_02,휴대폰/기기 상담,유통망
,,,,,expl_consult_chat_03,요금제 및 상품 상담,유통망
,,,,,expl_consult_chat_04,인터넷/B tv 상담,
,,,,,expl_consult_chat_05,상담 내용 출력 및 공유,유통망
,,,expl_consult_call,고객센터 상담을 통한 탐색,expl_consult_call_01,요금제 및 상품 상담,고객센터
,,,,,expl_consult_call_02,인터넷/B tv 상담,
,,,expl_consult_online,온라인/챗봇 상담을 통한 탐색,expl_consult_online_01,대리점/판매점 온라인 구매 상담,유통망
,,,,,expl_consult_online_02,고객 센터 온라인 구매 상담,고객센터
,,,,,expl_consult_online_03,티다이렉스샵 채팅 구매 상담,T다이렉트
,expl_prsnl,개인화 추천,expl_plan_theme,테마별/특화 요금제,expl_plan_theme_01,0틴/0캠퍼스/0플랜 등 영 요금제,T월드
